Cepheid,logP,F555W,dF555W,F814W,dF814W,F160W,dF160W,mWesen,dmWesen,Metallicity,photpara,dphotpara,para,dpara
RW-CAS,1.17,9.3719,0.021,7.863,0.016,6.483,0.022,5.944,0.024,0.28,0.322,0.01,0.334,0.021
DD-CAS,0.992,10.036,0.007,8.523,0.011,7.108,0.012,6.566,0.013,0.16,0.319,0.009,0.346,0.014
YZ-CAR,1.259,8.8644,0.016,7.401,0.007,5.991,0.013,5.471,0.015,0.030,0.359,0.01,0.358,0.02
RY-CAS,1.084,10.075,0.019,8.333,0.04,6.715,0.01,6.085,0.02,0.32,0.342,0.01,0.359,0.016
AQ-CAR,0.99,8.9836,0.02,7.854,0.009,6.766,0.007,6.373,0.011,0.013,0.354,0.01,0.361,0.017
RY-VEL,1.449,8.5234,0.036,6.757,0.016,5.211,0.017,4.576,0.023,0.09,0.403,0.012,0.376,0.023
WX-PUP,0.951,9.1909,0.03,7.944,0.012,6.807,0.01,6.368,0.016,0.010,0.376,0.011,0.387,0.017
XY-CAR,1.095,9.466,0.011,7.927,0.009,6.455,0.006,5.904,0.008,0.012,0.375,0.01,0.39,0.015
VX-PER,1.037,9.4589,0.008,7.906,0.006,6.47,0.009,5.914,0.01,0.03,0.407,0.011,0.392,0.019
CD-CYG,1.232,9.1207,0.011,7.468,0.012,5.9,0.012,5.307,0.014,0.12,0.398,0.011,0.394,0.018
HW-CAR,0.964,9.2782,0.016,8.007,0.013,6.798,0.005,6.35,0.009,0.06,0.37,0.01,0.397,0.013
X-PUP,1.414,8.6949,0.019,7.128,0.01,5.628,0.008,5.069,0.012,0.02,0.341,0.01,0.397,0.022
SV-VUL,1.653,7.2675,0.047,5.648,0.033,4.214,0.027,3.639,0.035,0.11,0.457,0.015,0.402,0.023
GQ-ORI,0.935,8.7199,0.02,7.632,0.024,6.523,0.032,6.146,0.034,0.25,0.418,0.013,0.408,0.023
BK-AUR,0.903,9.5609,0.036,8.22,0.038,7.015,0.021,6.539,0.029,0.07,0.371,0.011,0.426,0.016
SV-VEL,1.149,8.7316,0.026,7.302,0.009,6.024,0.01,5.517,0.015,0.09,0.411,0.012,0.434,0.019
SZ-CYG,1.179,9.6209,0.013,7.756,0.017,6.004,0.008,5.329,0.012,0.15,0.426,0.012,0.445,0.014
XZ-CAR,1.221,8.7725,0.017,7.217,0.006,5.77,0.007,5.215,0.01,0.026,0.425,0.012,0.473,0.02
Z-LAC,1.037,8.5686,0.022,7.157,0.015,5.917,0.018,5.417,0.021,0.07,0.509,0.015,0.51,0.023
DR-VEL,1.049,9.7083,0.034,7.77,0.02,6.183,0.021,5.479,0.026,0.024,0.488,0.015,0.52,0.015
U-CAR,1.589,6.3852,0.038,4.967,0.023,3.768,0.019,3.272,0.026,0.25,0.589,0.018,0.561,0.025
VY-CAR,1.276,7.6162,0.014,6.253,0.007,4.991,0.004,4.513,0.007,0.08,0.539,0.015,0.565,0.018
V-339-CEN,0.976,8.8402,0.024,7.321,0.016,5.99,0.024,5.448,0.026,0.080,0.557,0.017,0.568,0.023
WZ-SGR,1.339,8.2021,0.012,6.481,0.013,4.858,0.009,4.242,0.011,0.28,0.547,0.015,0.612,0.031
T-MON,1.432,6.068,0.023,4.828,0.016,3.725,0.021,3.298,0.024,0.04,0.749,0.022,0.745,0.057
AG-CRU,0.584,8.3175,0.013,7.307,0.011,6.414,0.027,6.068,0.028,0.02,0.748,0.023,0.758,0.022
RY-SCO,1.308,8.2067,0.012,6.206,0.01,4.408,0.01,3.685,0.012,0.01,0.757,0.021,0.764,0.035
V-CAR,0.826,7.4753,0.009,6.403,0.008,5.463,0.019,5.096,0.02,0.08,0.81,0.024,0.797,0.015
RY-CMA,0.67,8.2358,0.015,7.111,0.013,6.045,0.027,5.656,0.028,0.14,0.787,0.024,0.825,0.032
TX-CYG,1.168,9.6108,0.024,7.083,0.015,4.789,0.027,3.862,0.029,0.26,0.844,0.026,0.829,0.02
YZ-SGR,0.98,7.4662,0.021,6.176,0.014,5.103,0.02,4.653,0.022,0.12,0.786,0.023,0.86,0.027
ER-CAR,0.888,6.9095,0.011,5.916,0.012,5.078,0.027,4.742,0.028,0.12,0.867,0.026,0.869,0.016
V0386-CYG,0.721,9.8126,0.015,7.748,0.014,5.944,0.027,5.192,0.028,0.17,0.901,0.028,0.894,0.014
X-CYG,1.214,6.5295,0.02,5.23,0.049,4.08,0.033,3.629,0.039,0.16,0.883,0.029,0.91,0.022
AP-PUP,0.706,7.456,0.016,6.412,0.014,5.534,0.027,5.177,0.028,0.020,0.941,0.029,0.924,0.022
SS-SCT,0.565,8.3122,0.01,7.073,0.005,6.034,0.019,5.6,0.019,0.11,0.948,0.028,0.934,0.025
T-VEL,0.667,8.1205,0.009,6.915,0.007,5.839,0.019,5.419,0.02,0.160,0.904,0.026,0.94,0.018
V-VEL,0.641,7.5198,0.013,6.555,0.01,5.693,0.027,5.366,0.028,0,0.951,0.029,0.953,0.019
V0482-SCO,0.656,8.0697,0.013,6.773,0.013,5.697,0.027,5.242,0.028,0.019,0.982,0.03,0.993,0.028
W-GEM,0.898,7.0841,0.057,5.899,0.018,4.863,0.027,4.454,0.036,0.010,0.984,0.032,1.006,0.031
BG-VEL,0.84,7.7827,0.01,6.299,0.009,5.054,0.019,4.529,0.02,0.04,1.033,0.03,1.045,0.019
R-MUS,0.876,6.4568,0.009,5.447,0.008,4.609,0.019,4.268,0.02,0.110,1.117,0.033,1.076,0.019
R-CRU,0.765,6.8479,0.017,5.856,0.016,4.984,0.027,4.649,0.028,0.1,1.088,0.033,1.078,0.031
S-NOR,0.989,6.5779,0.011,5.41,0.012,4.391,0.012,3.99,0.014,0.1,1.054,0.03,1.099,0.024
S-TRA,0.801,6.5171,0.013,5.553,0.012,4.752,0.027,4.429,0.028,0.01,1.15,0.035,1.12,0.024
V0636-SCO,0.832,6.8167,0.009,5.618,0.008,4.568,0.02,4.154,0.021,0.07,1.239,0.036,1.18,0.037
BF-OPH,0.609,7.5091,0.018,6.347,0.01,5.374,0.027,4.972,0.028,0.11,1.184,0.036,1.189,0.026
AP-SGR,0.704,7.1056,0.028,6.036,0.013,5.094,0.027,4.729,0.03,0.16,1.145,0.035,1.217,0.026
RV-SCO,0.783,7.1616,0.01,5.871,0.007,4.773,0.019,4.323,0.02,0.08,1.234,0.036,1.257,0.023
S-CRUh,0.671,6.67,0.05,5.698,0.011,4.843,0.027,4.516,0.033,0.08,1.335,0.042,1.342,0.026
R-TRA,0.53,6.7236,0.013,5.794,0.014,5.025,0.019,4.714,0.02,0.16,1.497,0.044,1.56,0.018
U-SGR,0.829,6.8864,0.018,5.388,0.011,4.143,0.027,3.615,0.028,0.14,1.588,0.049,1.605,0.025
